Date,Time,Meal Type,Food Items
23-11-2023,6:32 PM,Snacks,"Popcorn (200 gm), Potato Chips (100 gm), Pepsi (250 ml)"
23-11-2023,10:06 PM,Dinner,"Dal (100 gm), Roti (2 pc)"
24-11-2023,9:40 AM,Breakfast,"Banana (70 gm), Almond Milk (200 ml)"
24-11-2023,1:49 PM,Lunch,"Roti (4 pc), Alu Gobhi Sabji (150 gm)"
24-11-2023,4:27 PM,Snacks,"Puffed Rice (100 gm), Jaggery (50 gm), Namkeen (100 gm) "
24-11-2023,9:07 PM,Dinner,"Chana Masala (200 gm), Roti (3 pc), Milk (120 ml)"
25-11-2023,10:03 AM,Breakfast,"Veg Burger (150 gm), Ketchup (20 gm)"
25-11-2023,2:21 PM,Lunch,"Veg Biryani (200 gm), Raita (70 gm)"
25-11-2023,5:47 PM,Snacks,"Pomegrenate Orange Watermelon Pineapple Kiwi Banana (300 gm), Cold Coffee (150 ml)"
25-11-2023,9:08 PM,Dinner,"Chhole (150 gm), Pudi (6 pc), Onion (30 gm), Cucumber (50 gm)"
26-11-2023,8:25 AM,Breakfast,"Gobhi Paratha (150 gm), Curd (100 gm), Tea (150 ml)"
26-11-2023,1:41 PM,Lunch,"Roti (4 pc), Baingan Bharta (150 gm), Dal (100 gm)"
26-11-2023,8:46 PM,Dinner,"Ghee Roti (4 pc), Alu Matar Tamatar Sabji (150 gm), Rice (70 gm), Urad Dal (100 gm), Onion (30 gm)"
27-11-2023,12:13 PM,Lunch,"Aloo Paratha (150 gm), Chhole (150 gm), Veg Fried Rice (100 gm), Kheer (100 gm), Kaju Katli (20 gm)"
27-11-2023,6:32 PM,Snacks,"Sweet Corn (100 gm), Samosa (50 gm), Tea (100 ml)"
27-11-2023,8:38 PM,Dinner,"Rajma Sabji (150 gm), Jeera Rice (100 gm)"
28-11-2023,7:28 AM,Breakfast,"Pongal (150 gm), Mehdu Vda (70 gm)"
28-11-2023,1:09 PM,Lunch,"Roti (2 pc), Dal Makhani (150 gm), Rice (100 gm)"
28-11-2023,5:09 PM,Snacks,"Kachori (120 gm), Veg Cutlet (120 gm), Coca Cola (250 ml), Cotton Candy (50 gm)"
28-11-2023,9:26 PM,Dinner,"Chhole (150 gm), Bhature (150 gm), Onion (50 gm)"
29-11-2023,10:21 AM,Breakfast,"Soaked Almonds (20 gm), Cashew (20 gm), Soaked Chickpeas (70 gm), Tea (100 ml)"
29-11-2023,1:53 PM,Lunch,"Roti (3 pc),Rice(80gm), Dal (150 gm), ButterSkotch Icecream (100 gm)"
29-11-2023,8:59 PM,Dinner,"Ghee Roti (3 pc), Chana Dal (150 gm), Rice (80 gm)"
30-11-2023,9:12 AM,Breakfast,"Pudi (4 pc), Alu Matar Sabji (100 gm) Tea (100 ml)"
30-11-2023,12:24 PM,Lunch,"Bati (200 gm), Baingan Bharta (150 gm), Dal (100 gm), Laddu (80 gm)"
30-11-2023,10:20 PM,Dinner,"Paratha (200 gm), Paneer Masala(150 gm), Rice (100 gm), Cucumber (50 gm), Onion Tomato (50 gm) "
01-12-2023,1:30 PM,Lunch,"Ghee Roti (3 pc), Cabbage Sabji (100 gm), Dal (100 gm)"
01-12-2023,4:05 PM,Snacks,"Dark Chocolate (40 gm), Sweet Potato (150 gm), Tea (100 ml)"
01-12-2023,10:45 PM,Dinner,"Palak Paneer (150 gm), Malabar Paratha (120 gm), Rice (150 gm), Curd (100 gm), Gualab Jamun (60 gm)"
05-01-2024,9:10 AM,Breakfast,Lemon Rice (100 gm)
05-01-2024,1:47 PM,Lunch,"Veg Pulao (100 gm), Cucumber Raita (100 gm)"
05-01-2024,5:40 PM,Snacks,Sev Puri (80 gm)
05-01-2024,8:02 PM,Dinner,"Roti (4 pc), Dal Makhani (150 gm), Rice (50 gm), Rasam (50 gm)"
06-01-2024,8:55 AM,Breakfast,"Poha (90 gm), Tea(100 ml)"
06-01-2024,1:17 PM,Lunch,"Dal (150 gm), Rice (50 gm),Roti (3 pc), Papad (1 pc), Salad (50 gm)"
06-01-2024,5:28 PM,Snacks,Dabeli (1 pc)
06-01-2024,8:33 PM,Dinner,"Chole (150 gm), Bhatura (2 pc), Halwa (50 gm)"
07-01-2024,12:30 PM,Lunch,"Veg Biryani (150 gm), Raita (100 gm)"
07-01-2024,4:40 PM,Snacks,Mirchi Bajji (50 gm)
07-01-2024,8:55 PM,Snacks,"Tea (100 ml), Biscuit (50 gm)"
08-01-2024,9:15 AM,Breakfast,"Idli (3 pc), Sambhar (100 gm), Coconut Chutney (40 gm)"
08-01-2024,4:20 PM,Snacks,Egg Roll (200 gm)
08-01-2024,7:59 PM,Dinner,"Chole (150 gm), Bhatura (2 pc), Halwa (50 gm)"
09-01-2024,12:55 PM,Lunch,"Dosa (100 gm), Sambhar (100 gm), Coconut Chutney (50 gm)"
09-01-2024,8:17 PM,Dinner,"Roti (3 pc), Rajma Sabji (160 gm), Rice (90 gm)"
10-01-2024,1:30 PM,Lunch,"Chawal (100 gm), Dal Tadka (150 gm), Aloo Tamatar Sabji (50 gm)"
10-01-2024,7:59 PM,Dinner,"Rayta (100 gm), Paneer biryani( 150 gm)"
11-01-2024,9:30 AM,Breakfast,"Tea (80 ml), Biscuit (30 gm)"
11-01-2024,1:15 PM,Lunch,"Palak Dal (100 gm), Rice (80 gm)"
11-01-2024,5:10 PM,Snacks,"Momos(4 pc), Red Chutney(40 gm)"
11-01-2024,8:40 PM,Dinner,"Roti (3 pc), Began Sabji (150 gm), Rice (80 gm), Dal (100 gm)"
12-01-2024,10:02 AM,Breakfast,"Plain Dosa (80 gm), Sambhar (90 gm), Coconut Chutney (40 gm)"
12-01-2024,7:37 PM,Dinner,"Carrot sabji (70 gm), Dal(110 gm), Roti (5 pc), Rice (50 gm)"
13-01-2024,9:53 AM,Breakfast,"Puri (4 pc), Aloo Sabji (80 gm)"
13-01-2024,1:02 PM,Lunch,"Paneer Butter Masala (150 gm), Naan (3 pc), Rice (50 gm)"
13-01-2024,6:02 PM,Snacks,Bhel Puri (100 gm)
13-01-2024,8:57 PM,Dinner,"Paneer Sabzi (100 gm), Dal(100gm), Roti (2 pc), Rice (100 gm)"
14-01-2024,9:30 AM,Breakfast,"Aloo Paratha (120 gm), Dahi(50gm)"
14-01-2024,1:20 PM,Lunch,"Moong Dal (150 gm), Rice (50 gm), Karela Sabji (50 gm)"
14-01-2024,4:02 PM,Snacks,Sev Puri (80gm)
14-01-2024,5:45 PM,Snacks,"Tea (100 ml), Biscuit (30 gm)"
14-01-2024,9:30 PM,Dinner,"Masoor Dal (150 gm), Rice (100 gm), Bhindi Fry (50 gm)"
15-01-2024,12:55 PM,Lunch,"Khichdi (130 gm), Ghee (10 gm), Papad (2 pc), Achar (10 gm)"
15-01-2024,8:03 PM,Dinner,"Masoor Dal (120 gm), Rice (100 gm), Bhindi Fry (80 gm)"
16-01-2024,9:12 AM,Breakfast,"Besan Chilla (2 pc), Mint Chutney (50 gm)"
16-01-2024,12:38 PM,Lunch,"Masoor Dal (150 gm), Rice (100 gm), Bhindi Fry (50 gm)"
16-01-2024,5:08 PM,Snacks,Guava (130 gm)
16-01-2024,8:22 PM,Dinner,"Khichdi (100 gm), Papad (2 pc)"
17-01-2024,9:34 AM,Breakfast,"Upma (100 gm), Coconut Chutney (80 gm)"
17-01-2024,1:08 PM,Lunch,"Paratha (110 gm), Dahi (50 gm), Chole (100 gm)"
17-01-2024,5:44 PM,Snacks,Apple (70 gm)
17-01-2024,8:02 PM,Dinner,"Moong Dal (150 gm), Rice (100 gm), Karela Sabji (90 gm)"
18-01-2024,9:10 AM,Breakfast,"Tea (90 ml), Bread (40 gm)"
18-01-2024,8:17 PM,Dinner,"Dal Makhani (100 gm), Naan (3 pc)"
19-01-2024,9:44 AM,Breakfast,"Masala Dosa (60 gm), Sambhar (40 gm), Coconut Chutney(50gm)"
19-01-2024,9:12 PM,Dinner,"Gatte Sabji (100 gm), Rice (100 gm)"
20-01-2024,1:19 PM,Lunch,"Roti (3 pc), Chawal (100 gm), Dal Tadka (100 gm), Aloo Tamatar Sabji (50 gm)"
20-01-2024,6:38 PM,Snacks,Blue berry (60 gm)
21-01-2024,1:50 PM,Lunch,"Aloo Matar (100 gm), Roti (3 pc)"
21-01-2024,8:31 PM,Dinner,"Kala Chana Curry (150 gm), Rice (100 gm)"
22-01-2024,12:54 PM,Lunch,"Sambar (100 gm), Rice (80 gm), Papad (1 pc)"
22-01-2024,6:18 PM,Snacks,Kivi (80 gm)
22-01-2024,9:31 PM,Dinner,"Veg Biryani (100 gm), Cucumber Raita (100 gm), Salad (50 gm)"
23-01-2024,1:39 PM,Lunch,"Kala Chana Curry (100 gm), Roti (2 pc)"
23-01-2024,6:36 PM,Snacks,"Coffee (80 ml), Biscuit (30 gm)"
23-01-2024,8:16 PM,Dinner,"Mix Dal (100 gm), Roti (3 pc), Cabbage Sabji (50 gm)"
24-01-2024,1:39 PM,Lunch,"Aloo Gobi Sabji (100 gm), Dal (100 gm), Rice (100 gm)"
24-01-2024,5:52 PM,Snacks,Pani Puri (7 pc)
24-01-2024,8:31 PM,Dinner,"Paneer Lababdar (150 gm), Roti (5 pc)"
25-01-2024,12:33 PM,Lunch,"Aloo Paratha (100 gm), Dahi (50 gm)"
25-01-2024,7:58 PM,Dinner,"Lauki Sabji (60 gm), Roti (3 pc), Masoor Dal (80 gm)"
26-01-2024,1:39 PM,Lunch,"Paneer Butter Masala (100 gm), Naan (3 pc), Rice (60 gm)"
26-01-2024,4:45 PM,Snacks,Cornflakes Mixture (50 gm)
26-01-2024,6:03 PM,Snacks,Pani Puri (5 pc)
26-01-2024,8:58 PM,Dinner,"Mix Dal (100 gm), Roti (3 pc), Cabbage Sabji (50 gm)"
27-01-2024,6:58 PM,Snacks,Tea (80 ml)
28-01-2024,1:11 PM,Lunch,"Roti (3 pc), Rice (100 gm), Dal Tadka (100 gm), Loki Sabji (80 gm)"
28-01-2024,5:28 PM,Snacks,Banana Chips (50 gm)
28-01-2024,8:36 PM,Dinner,"Veg Dum Biryani (100 gm), Mirchi Salan (50 gm)"
29-01-2024,1:39 PM,Lunch,"Roti (2 pc), Rice (130 gm), Dal Tadka (80 gm), Aloo Tamatar Sabji (100 gm)"
29-01-2024,7:54 PM,Dinner,"Navratan Korma (100 gm), Roti (3 pc)"
30-01-2024,1:58 PM,Lunch,"Roti (3 pc), Dal (100 gm), Alu Gobhi Sabji (90 gm), Rice (70 gm)"
30-01-2024,5:00 PM,Snacks,Sabudana Vada (100 gm)
30-01-2024,8:59 PM,Dinner,"Chole (150 gm), Bhature (80 gm)"
31-01-2024,1:05 PM,Lunch,"Roti (2 pc), Dal (70 gm),Salad (40 gm), Veg Biryani (80 gm), Rayta (110 gm), Sweet (70 gm)"
31-01-2024,7:25 PM,Dinner,"Mushroom Masala (150 gm), Roti (3 pc)"
01-02-2024,12:30 PM,Lunch,"Palak Dal (100 gm), Rice (100 gm)"
01-02-2024,9:29 PM,Dinner,"Roti (3 pc), Dal Fry (100 gm), Gobi Sabji (50 gm)"
02-02-2024,1:34 PM,Lunch,"Dal (90 gm), Rice (50 gm), Papad (1 pc)"
02-02-2024,5:08 PM,Snacks,Samosa (2 pc)
03-02-2024,12:47 PM,Lunch,"Roti (4 pc), Alu Gobhi Sabji (150 gm)"
03-02-2024,4:11 PM,Snacks,Kachori (2 pc)
03-02-2024,6:03 PM,Snacks,Lays Chips (60 gm)
03-02-2024,9:57 PM,Dinner,"Paneer Butter Masala (80 gm), Naan (2 pc), Rice (40 gm)"
04-02-2024,12:47 PM,Lunch,"Aloo Matar (100 gm), Roti (4 pc), Rice(80 gm)"
04-02-2024,8:01 PM,Dinner,"Roti (3 pc), Paneer Sabzi (110 gm), Salad (30 gm), Rasam (60 gm), Pickle (10 gm), Rice (50 gm)"
05-02-2024,9:02 AM,Breakfast,"Masala Dosa (90 gn), Sambhar (60 gm)"
05-02-2024,11:57 AM,Snacks,Coffee (100 ml)
05-02-2024,1:43 PM,Lunch,"Tomato Rice (100 gm), Papad (1 pc)"
05-02-2024,4:40 PM,Snacks,Mixture Namkeen (60 gm)
06-02-2024,9:24 AM,Breakfast,"Cornflakes (40 gm), Milk (100 ml)"
06-02-2024,1:25 PM,Lunch,"Aloo Paratha (90 gm), Dahi (50 gm)"
06-02-2024,7:53 PM,Dinner,"Stuffed Capsicum (80 gm), Dal (100 gm), Rice (90 gm)"
07-02-2024,8:56 PM,Dinner,"Chole (100 gm), Bhature (80 gm)"
08-02-2024,7:51 PM,Dinner,"Roti (4 pc), Chana sabji (150 gm), Rice (80 gm)"
09-02-2024,1:03 PM,Lunch,"Sambar (70 gm), Rice (50 gm), Papad (1 pc)"
09-02-2024,5:10 PM,Snacks,Papdi Chaat (150 gm)
09-02-2024,8:53 PM,Dinner,"Masala Dosa (90 gm), Sambhar (120 gm)"
10-02-2024,12:51 PM,Lunch,"Roti (2 pc), Rice (80 gm), Dal Tadka (100 gm), Aloo Tamatar Sabji (60 gm)"
10-02-2024,4:53 PM,Snacks,Sandwitch (120 gm)
10-02-2024,8:33 PM,Dinner,"Masoor Dal (110 gm), Rice (100 gm), Bhindi Fry (50 gm)"
11-02-2024,9:24 AM,Breakfast,"Aloo Paratha (120 gm), Dahi (70 gm)"
11-02-2024,1:08 PM,Lunch,"Dal (170 gm), Rice (120 gm), Papad (70 gm)"
11-02-2024,7:52 PM,Dinner,"Kala Chana Curry (100 gm), Rice (80 gm)"
12-02-2024,5:40 PM,Snacks,Coffee (100 ml)
12-02-2024,8:52 PM,Dinner,"Paneer Butter Masala (100 gm), Roti (3 pc), Jeera Rice (70 gm)"
13-02-2024,8:24 AM,Breakfast,"Moong Dosa (160 gm), Sambar (70 gm), Coconut Chutney (60 gm)"
13-02-2024,1:10 PM,Lunch,"Veg Biryani (150 gm), Raita (100 gm)"
13-02-2024,4:48 PM,Snacks,Mirchi Bajji (80 gm)
13-02-2024,8:12 PM,Dinner,"Roti (4 pc), Dal (150 gm), Rice (80 gm), Rasam (80 gm)"
14-02-2024,9:23 AM,Breakfast,"Roti (3 pc), Rajma Sabji (160 gm), Rice (90 gm)"
14-02-2024,4:57 PM,Snacks,Paneer Role (80 gm)
14-02-2024,8:41 PM,Dinner,"Roti (4 pc), Aloo beans (150 gm), Rice (80 gm)"
15-02-2024,10:42 AM,Breakfast,"Poha (120 gm),Tea (80 gm)"
15-02-2024,8:02 PM,Dinner,"Paratha (3 pc), Dahi (50 gm), Chole (80 gm)"
16-02-2024,9:42 AM,Breakfast ,"Alu Tamatar Sabji (150 gm), Paratha (4 pc)"
16-02-2024,12:47 PM,Lunch,"Paneer Paratha (2 pc), Curd (50 gm), Alu Tamatar Sabhi(50 gm)"
16-02-2024,4:45 PM,Snacks,Coffee (150 ml)
16-02-2024,8:25 PM,Dinner ,"Alu Beans Sabji (120 gm), Dal (120 gm), Roti (4 pc), Rice (50 gm), Icecream(80 gm)"
16-02-2024,11:27 PM,Snacks,Guava (150 gm)
17-02-2024,10:15 AM,Snacks,Watermelon (700 gm)
17-02-2024,1:40 PM,Lunch,"Dal (150 gm), Rice (150 gm), Papad (50 gm)"
17-02-2024,7:25 PM,Snacks,Grapes (100 gm)
17-02-2024,8:20 PM,Dinner ,"Pudi (6 pc), Chhole (300gm), Jeera Rice (100 gm), Vanilla Softi Icecream (150 gm)"
18-02-2024,1:55 AM,Snacks,Wai wai noodles (150 gm)
18-02-2024,12:55 PM,Lunch,"Dal (150 gm), Rice (150 gm), Papad (50 gm)"
18-02-2024,5:01 PM,Snacks ,"Tea (100 ml), Grapes (150 gm), "
18-02-2024,8:40 PM,Dinner ,Veg Biryani (250 gm)
19-02-2024,12:05 AM,Snacks,Watermelon (500 gm)
19-02-2024,1:15 PM,Lunch,"Rice (150 gm), Sambhar (200 gm), Tomato chutney (50 gm)"
19-02-2024,7:40 PM,Snacks,Bhel (200 gm)
19-02-2024,11:45 PM,Snacks,Watermelon (200 gm)
20-02-2024,1:12 AM,Snacks,Good Day Buscuit (30 gm)
20-02-2024,11:53 AM,Snacks,Coffee (150 ml)
20-02-2024,1:02 PM,Lunch,"Roti (3 pc), Alu Rajma Dry Sabji (50 gm), Dal (50 gm), Shahi Kurma (50 gm), Salad (50 gm), Veg Biryani (100 gm), Rayta (100 gm), Sweet (100 gm)"
20-02-2024,5:00 PM,Snacks,Coffee (150 ml)
20-02-2024,6:32 PM,Snacks ,"Tea (100 ml), Buiscuit (20 gm)"
20-02-2024,8:40 PM,Dinner ,"Roti (4 pc), Dal (150 gm), Alu Sem Sabji (100 gm), Rice (50 gm)"
21-02-2024,12:50 PM,Lunch,"Roti (3 pc), Soan Papdi Sweet (30 gm), Shahi Paneer (50 gm), Fried Rice (100 gm), Curd (100 gm), Dal Makhani (100 gm), Veg Manchurian (50 gm)"
21-02-2024,4:40 PM,Snacks,Coffee (150 ml)
21-02-2024,7:10 PM,Snacks ,Apple (50 gm)
21-02-2024,8:05 PM,Dinner,"Roti (5 pc), Paneer Masala (150 gm), Rice (50 gm)"
21-02-2024,9:20 PM,Snacks ,Butterscotch Icecream (150 gm)
22-02-2024,1:35 PM,Lunch,"Rice(150 gm), Dal (150 gm), Alu Sem Sabji (100 gm)"
22-02-2024,9:00 PM,Dinner,"Roti (4 pc), Dal (150 gm), Baigan Sabji (50 gm), Rice (50 gm)"
23-02-2024,1:40 AM,Snacks,Black Grapes (50 gm)
23-02-2024,12:50 PM,Lunch,"Pudi (4 pc), Dal (100 gm), Curd (50 gm), Cucumber (50 gm), Babycorn Chilli (50 gm), Veg Zalfgrezi (50 gm), Motichur Barfi (20 gm), Veg biryani (100 gm)"
23-02-2024,4:37 PM,Snacks,"Coffee (150 ml), Haldiram Ratlami Sev (50 gm)"
23-02-2024,8:25 PM,Dinner,"Rajma Sabji (200 gm), Roti (4 pc), Rasam (100 ml), Rice (50 gm)"
24-02-2024,1:32 PM,Lunch,"Rice (150 gm), Dal (100 gm), Alu Sabji (100 gm)"
24-02-2024,9:04 PM,Dinner,"Chhole (150 gm), Bhatura (3 pc)"
